municipality_code,municipality_name,municipality_name_danish,region_code,region_name,region_name_danish
101,Copenhagen,København,DK01,Capital Region,Region Hovedstaden
147,Frederiksberg,Frederiksberg,DK01,Capital Region,Region Hovedstaden
151,Ballerup,Ballerup,DK01,Capital Region,Region Hovedstaden
153,Brøndby,Brøndby,DK01,Capital Region,Region Hovedstaden
155,Dragør,Dragør,DK01,Capital Region,Region Hovedstaden
157,Gentofte,Gentofte,DK01,Capital Region,Region Hovedstaden
159,Gladsaxe,Gladsaxe,DK01,Capital Region,Region Hovedstaden
161,Glostrup,Glostrup,DK01,Capital Region,Region Hovedstaden
163,Herlev,Herlev,DK01,Capital Region,Region Hovedstaden
165,Albertslund,Albertslund,DK01,Capital Region,Region Hovedstaden
167,Hvidovre,Hvidovre,DK01,Capital Region,Region Hovedstaden
169,Høje-Taastrup,Høje-Taastrup,DK01,Capital Region,Region Hovedstaden
173,Lyngby-Taarbæk,Lyngby-Taarbæk,DK01,Capital Region,Region Hovedstaden
175,Rødovre,Rødovre,DK01,Capital Region,Region Hovedstaden
183,Ishøj,Ishøj,DK01,Capital Region,Region Hovedstaden
185,Tårnby,Tårnby,DK01,Capital Region,Region Hovedstaden
187,Vallensbæk,Vallensbæk,DK01,Capital Region,Region Hovedstaden
190,Furesø,Furesø,DK01,Capital Region,Region Hovedstaden
201,Allerød,Allerød,DK01,Capital Region,Region Hovedstaden
210,Fredensborg,Fredensborg,DK01,Capital Region,Region Hovedstaden
217,Helsingør,Helsingør,DK01,Capital Region,Region Hovedstaden
219,Hillerød,Hillerød,DK01,Capital Region,Region Hovedstaden
223,Hørsholm,Hørsholm,DK01,Capital Region,Region Hovedstaden
230,Rudersdal,Rudersdal,DK01,Capital Region,Region Hovedstaden
240,Egedal,Egedal,DK01,Capital Region,Region Hovedstaden
250,Frederikssund,Frederikssund,DK01,Capital Region,Region Hovedstaden
253,Gribskov,Gribskov,DK01,Capital Region,Region Hovedstaden
259,Halsnæs,Halsnæs,DK01,Capital Region,Region Hovedstaden
265,Roskilde,Roskilde,DK01,Capital Region,Region Hovedstaden
269,Solrød,Solrød,DK01,Capital Region,Region Hovedstaden
270,Greve,Greve,DK01,Capital Region,Region Hovedstaden
400,Bornholm,Bornholm,DK01,Capital Region,Region Hovedstaden
306,Odsherred,Odsherred,DK02,Zealand Region,Region Sjælland
316,Holbæk,Holbæk,DK02,Zealand Region,Region Sjælland
320,Faxe,Faxe,DK02,Zealand Region,Region Sjælland
326,Kalundborg,Kalundborg,DK02,Zealand Region,Region Sjælland
330,Ringsted,Ringsted,DK02,Zealand Region,Region Sjælland
336,Slagelse,Slagelse,DK02,Zealand Region,Region Sjælland
340,Sorø,Sorø,DK02,Zealand Region,Region Sjælland
350,Lejre,Lejre,DK02,Zealand Region,Region Sjælland
360,Lolland,Lolland,DK02,Zealand Region,Region Sjælland
370,Næstved,Næstved,DK02,Zealand Region,Region Sjælland
376,Guldborgsund,Guldborgsund,DK02,Zealand Region,Region Sjælland
390,Vordingborg,Vordingborg,DK02,Zealand Region,Region Sjælland
410,Christiansø,Christiansø,DK02,Zealand Region,Region Sjælland
430,Middelfart,Middelfart,DK03,Southern Denmark,Region Syddanmark
440,Assens,Assens,DK03,Southern Denmark,Region Syddanmark
450,Faaborg-Midtfyn,Faaborg-Midtfyn,DK03,Southern Denmark,Region Syddanmark
461,Kerteminde,Kerteminde,DK03,Southern Denmark,Region Syddanmark
471,Nyborg,Nyborg,DK03,Southern Denmark,Region Syddanmark
479,Odense,Odense,DK03,Southern Denmark,Region Syddanmark
480,Nordfyns,Nordfyns,DK03,Southern Denmark,Region Syddanmark
482,Svendborg,Svendborg,DK03,Southern Denmark,Region Syddanmark
485,Ærø,Ærø,DK03,Southern Denmark,Region Syddanmark
490,Langeland,Langeland,DK03,Southern Denmark,Region Syddanmark
510,Haderslev,Haderslev,DK03,Southern Denmark,Region Syddanmark
530,Billund,Billund,DK03,Southern Denmark,Region Syddanmark
540,Sønderborg,Sønderborg,DK03,Southern Denmark,Region Syddanmark
550,Tønder,Tønder,DK03,Southern Denmark,Region Syddanmark
561,Esbjerg,Esbjerg,DK03,Southern Denmark,Region Syddanmark
563,Fanø,Fanø,DK03,Southern Denmark,Region Syddanmark
573,Varde,Varde,DK03,Southern Denmark,Region Syddanmark
575,Vejen,Vejen,DK03,Southern Denmark,Region Syddanmark
580,Aabenraa,Aabenraa,DK03,Southern Denmark,Region Syddanmark
607,Fredericia,Fredericia,DK03,Southern Denmark,Region Syddanmark
621,Kolding,Kolding,DK03,Southern Denmark,Region Syddanmark
630,Vejle,Vejle,DK03,Southern Denmark,Region Syddanmark
615,Horsens,Horsens,DK04,Central Denmark,Region Midtjylland
657,Herning,Herning,DK04,Central Denmark,Region Midtjylland
661,Holstebro,Holstebro,DK04,Central Denmark,Region Midtjylland
665,Lemvig,Lemvig,DK04,Central Denmark,Region Midtjylland
671,Struer,Struer,DK04,Central Denmark,Region Midtjylland
673,Syddjurs,Syddjurs,DK04,Central Denmark,Region Midtjylland
706,Norddjurs,Norddjurs,DK04,Central Denmark,Region Midtjylland
707,Favrskov,Favrskov,DK04,Central Denmark,Region Midtjylland
710,Odder,Odder,DK04,Central Denmark,Region Midtjylland
727,Randers,Randers,DK04,Central Denmark,Region Midtjylland
730,Silkeborg,Silkeborg,DK04,Central Denmark,Region Midtjylland
740,Samsø,Samsø,DK04,Central Denmark,Region Midtjylland
741,Skanderborg,Skanderborg,DK04,Central Denmark,Region Midtjylland
746,Skive,Skive,DK04,Central Denmark,Region Midtjylland
751,Aarhus,Aarhus,DK04,Central Denmark,Region Midtjylland
756,Ikast-Brande,Ikast-Brande,DK04,Central Denmark,Region Midtjylland
759,Viborg,Viborg,DK04,Central Denmark,Region Midtjylland
760,Ringkøbing-Skjern,Ringkøbing-Skjern,DK04,Central Denmark,Region Midtjylland
773,Jammerbugt,Jammerbugt,DK05,North Denmark,Region Nordjylland
787,Thisted,Thisted,DK05,North Denmark,Region Nordjylland
791,Brønderslev,Brønderslev,DK05,North Denmark,Region Nordjylland
793,Frederikshavn,Frederikshavn,DK05,North Denmark,Region Nordjylland
797,Hjørring,Hjørring,DK05,North Denmark,Region Nordjylland
810,Læsø,Læsø,DK05,North Denmark,Region Nordjylland
